Word	TF-IDF Score
director	1.5683612283215342
festival	1.2669218929142048
film	1.2669218929142048
pulls	1.2669218929142048
moore	1.2152450598172546
demi	1.2152450598172546
scott	1.0997053969564765
camerimage	1.0096972771140074
photos	1.0022219111982626
movie	0.9865378002021804
comments	0.9798586435849721
ridley	0.9727627316539446
franchises	0.9727627316539446
terrifier	0.7884263773752482
screen	0.7884263773752482
misogynistic	0.7718676859714704
fargeat	0.7470094181898503
coralie	0.7470094181898503
halloween	0.7289044321386503
horror	0.6455493720183976
